City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Zhuhai,CN,2021-10-02 00:24:08,22.2769,113.5678,86.97,79,20,3.44
277,Sayyan,YE,2021-10-02 00:21:10,15.1718,44.3244,62.33,34,100,3.62
278,Rottingdean,GB,2021-10-02 00:24:09,50.8098,-0.0594,50.11,87,30,1.01
279,Atar,MR,2021-10-02 00:24:09,20.5169,-13.0499,88.59,38,64,3.4
280,Shemysheyka,RU,2021-10-02 00:24:10,52.892,45.3928,43.63,91,16,2.62
281,Sioux Lookout,CA,2021-10-02 00:24:10,50.1001,-91.917,62.67,94,90,3.44
282,Baykit,RU,2021-10-02 00:24:11,61.67,96.37,36.5,100,100,1.43
283,Melhus,NO,2021-10-02 00:20:11,63.2855,10.2781,62.26,64,100,12.64
284,Cidreira,BR,2021-10-02 00:17:42,-30.1811,-50.2056,65.08,89,100,9.91
285,Taksimo,RU,2021-10-02 00:24:12,56.3444,114.8794,31.68,65,60,1.16
286,Pauini,BR,2021-10-02 00:24:13,-7.7136,-66.9764,78.12,75,65,3.8
287,Biak,ID,2021-10-02 00:24:13,-0.9131,122.8766,79.43,78,97,4.76
288,Laguna,US,2021-10-02 00:20:27,38.421,-121.4238,92.1,20,1,1.99
289,Touros,BR,2021-10-02 00:17:26,-5.1989,-35.4608,77.9,84,9,13.44
290,Nhulunbuy,AU,2021-10-02 00:24:14,-12.2333,136.7667,88.41,48,40,8.05
291,Junction City,US,2021-10-02 00:24:03,39.0286,-96.8314,74.39,68,40,1.99
292,Mindelo,CV,2021-10-02 00:24:15,16.8901,-24.9804,78.35,73,20,14.97
293,Roald,NO,2021-10-02 00:24:15,62.5833,6.1333,56.12,62,20,11.5
294,Makat,KZ,2021-10-02 00:24:16,47.6469,53.3463,45.3,34,0,3.67
295,Byron Bay,AU,2021-10-02 00:22:17,-28.65,153.6167,79.05,43,2,4.74
