City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Moose Factory,CA,51.2585,-80.6094,44.8,80,0,5.21,clear sky
163,Qaqortoq,GL,60.7167,-46.0333,55.9,75,4,11.16,clear sky
164,Mehamn,NO,71.0357,27.8492,50.61,85,98,21.03,overcast clouds
165,Laguna,US,38.421,-121.4238,94.14,20,1,1.01,clear sky
166,Victoria,HK,22.2855,114.1577,84.38,89,25,1.01,scattered clouds
167,Urambo,TZ,-5.0667,32.05,77.22,48,91,3.4,overcast clouds
168,Cururupu,BR,-1.8283,-44.8683,75.56,87,20,4.09,few clouds
169,Bugulma,RU,54.55,52.8,43.5,94,100,3.49,overcast clouds
170,Ramonville-Saint-Agne,FR,43.5462,1.4749,70.45,77,0,16.11,clear sky
171,San Antonio,US,29.4241,-98.4936,85.75,65,75,6.91,broken clouds
172,Tilichiki,RU,60.4667,166.1,39.97,82,100,6.64,overcast clouds
173,Nikolskoye,RU,59.7035,30.7861,45.88,95,74,4.81,broken clouds
174,Saint George,US,37.1041,-113.5841,90.07,14,1,1.99,clear sky
175,San Andres,CO,12.5847,-81.7006,83.48,76,56,11.88,broken clouds
176,Saint-Joseph,RE,-21.3667,55.6167,68.38,75,23,11.1,few clouds
177,Leo,BF,11.1,-2.1,76.84,72,19,7.34,few clouds
178,Vallenar,CL,-28.5708,-70.7581,64.83,41,28,2.71,scattered clouds
179,Salaga,GH,8.5508,-0.5188,75.02,93,35,4.47,light rain
180,Byron Bay,AU,-28.65,153.6167,81.05,41,55,6.31,broken clouds
181,Hamilton,US,39.1834,-84.5333,74.95,90,20,0.0,few clouds
182,Rocha,UY,-34.4833,-54.3333,52.54,83,95,4.7,light rain
183,Vangaindrano,MG,-23.35,47.6,66.49,94,44,5.32,scattered clouds
184,Tasiilaq,GL,65.6145,-37.6368,37.56,62,1,4.68,clear sky
185,Racale,IT,39.9631,18.0938,69.04,68,38,3.78,scattered clouds
186,Utiel,ES,39.5667,-1.2,64.18,77,98,3.0,overcast clouds
187,Touros,BR,-5.1989,-35.4608,77.9,80,6,13.49,clear sky
188,Mandalgovi,MN,45.7625,106.2708,30.38,78,85,15.86,overcast clouds
189,Mbini,GQ,1.574,9.6134,76.71,89,70,4.85,broken clouds
190,Mattru,SL,7.6244,-11.8332,72.86,98,100,2.55,light rain
191,Herbertpur,IN,30.45,77.7333,72.0,78,0,4.83,clear sky
192,Fortuna,US,40.5982,-124.1573,63.93,77,1,1.01,clear sky
193,Marzuq,YE,14.4,46.4667,78.62,41,99,1.88,overcast clouds
