City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Ahipara,NZ,64.51,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
286,Dunedin,NZ,50.31,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
288,Summerside,CA,50.47,broken clouds,46.3959,-63.7876,Summerside Motel & Cottages
289,Namibe,AO,59.18,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
290,Pitimbu,BR,76.82,clear sky,-7.4706,-34.8086,Reserva do Abiaí
291,Batouri,CM,67.42,overcast clouds,4.4333,14.3667,Hotel Hollywood
292,Rumonge,BI,74.95,overcast clouds,-3.9736,29.4386,Kwetu Guest House
293,Luwuk,ID,82.2,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
294,Saint Anthony,US,68.56,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
295,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
296,Kavaratti,IN,80.73,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
297,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
298,Koroni,GR,66.07,scattered clouds,36.8,21.95,Apartments Xenios Zeus 1
301,Marechal Deodoro,BR,78.21,few clouds,-9.7103,-35.895,santoriniflats
302,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
303,Korla,CN,50.52,overcast clouds,41.7597,86.1469,Gulisitan Hotel
304,Griffith,US,70.99,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
305,Salalah,OM,78.84,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
306,Oruro,BO,55.8,clear sky,-17.9833,-67.15,Eden by BlueBay
307,Asfi,MA,66.69,scattered clouds,32.2994,-9.2372,Hôtel Abda
308,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
309,Manavgat,TR,72.01,clear sky,36.7867,31.4431,River Boutique Hotel
310,Brigantine,US,71.02,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
311,Doha,QA,85.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
314,Axim,GH,76.71,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
316,Flinders,AU,70.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
317,Huarmey,PE,63.25,few clouds,-10.0681,-78.1522,Hotel Miramar
318,Mabai,CN,63.7,overcast clouds,23.0128,104.4508,Yingpan Hostel
320,Barcelos,PT,65.91,light rain,41.5388,-8.6151,Hotel Do Terço
321,Fort-Shevchenko,KZ,53.65,scattered clouds,44.5086,50.263,Oasis hotel Bautino
322,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
323,Finale Ligure,IT,68.86,light rain,44.1695,8.3436,San Giuseppe
